cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
0	0	1	5	1	1	5	5
1	0	1	5	1	1	5	5
2	0	1	5	1	1	5	5
3	0	1	5	1	1	5	5
4	0	1	5	1	1	5	5
5	0	1	5	1	1	5	5
6	0	1	5	1	1	5	5
7	0	1	5	1	1	5	5
8	0	1	5	1	1	5	5
9	0	1	5	1	1	5	5
0	0.00594540033489466	1	4	1	1	5	5
2	0.0155212581157684	1	4	1	1	5	5
3	0.0390412919223309	1	4	1	1	4	6
1	0.0981468446552753	1	5	1	1	6	5
7	0.163096282631159	1	4	1	1	5	5
6	0.230292480438948	1	4	1	1	4	6
9	0.298739392310381	1	5	1	1	6	5
5	0.399442385882139	1	5	1	1	4	5
4	0.509181503206492	1	4	1	1	4	6
8	0.668287519365549	1	5	1	2	5	5
6	2.05496298614889	1	4	1	1	5	6
1	2.06982532143593	1	6	1	1	7	4
9	2.08847155235708	1	6	1	1	6	5
0	2.1108120046556	1	4	1	1	6	5
2	2.14010388404131	1	5	1	1	6	4
3	2.19022046774626	1	3	1	1	3	7
4	2.26385464519262	1	5	1	1	5	5
5	2.339783385396	1	5	1	1	5	5
8	2.4364682212472	1	4	1	2	5	5
7	2.55958344042301	1	4	1	1	5	4
9	2.70655250735581	1	6	1	1	6	4
6	2.73488094843924	1	4	1	1	6	6
0	2.81901450641453	1	3	1	1	5	6
3	2.86986624263227	1	2	1	1	2	8
7	2.92217576317489	1	4	1	1	6	4
1	2.99306306056678	1	5	1	1	6	5
2	3.10615854524076	1	4	1	1	5	5
5	3.23639222048223	1	6	1	1	6	4
4	3.37241672538221	1	4	1	1	4	6
8	3.54421391151845	1	4	1	3	5	5
7	3.5556518305093	1	4	1	1	7	4
8	3.57219372689724	1	3	1	3	5	5
1	3.60243694484234	1	6	1	1	7	4
4	3.64047539979219	1	4	1	1	5	6
5	3.69233480468392	1	6	1	2	6	4
6	3.75832141563296	1	4	1	1	7	6
9	3.82953746989369	1	6	1	1	7	4
3	3.92602541670203	1	3	1	1	2	8
0	4.03365341201425	1	4	1	1	5	6
3	4.20534372702241	1	3	1	1	3	8
2	4.54260266199708	1	5	1	1	6	4
9	4.54744715197012	1	6	1	1	8	4
4	4.56443980662152	1	4	1	1	6	6
6	4.58675121283159	1	4	1	1	8	6
8	4.61601841589436	1	4	1	3	6	4
3	4.65116389608011	1	3	1	1	4	8
0	4.688957081642	1	4	1	1	4	6
3	4.74854891886935	1	3	1	1	3	8
7	4.87769281258807	1	4	1	1	8	4
1	5.02486852696165	1	6	1	1	6	4
2	5.26725389948115	1	5	1	1	7	4
5	5.53905727853999	1	6	1	2	7	4
6	5.54593654768541	1	4	1	1	7	6
5	5.55312135862187	1	6	1	2	8	4
7	5.57116484036669	1	4	1	1	7	4
2	5.58968270150945	1	5	1	1	8	4
9	5.62191524682567	1	6	1	1	9	4
3	5.66874221293256	1	3	1	1	4	8
4	5.72146131796762	1	4	1	1	5	6
8	5.77428402705118	1	4	1	3	7	4
1	5.86724988324568	1	6	1	1	7	4
0	6.00881510181353	1	4	1	1	5	6
3	6.0111411861144	1	4	1	1	5	7
5	6.02895167050883	1	6	1	2	9	4
1	6.04919054685161	1	6	1	1	8	4
6	6.09249106375501	1	4	1	1	8	6
8	6.16064297733828	1	3	1	3	6	5
9	6.25450437096879	1	6	1	1	9	3
2	6.35930883465335	1	5	1	1	7	4
0	6.5177982407622	1	3	1	1	4	7
7	6.73763325391337	1	4	1	1	8	4
4	6.95975656388328	1	4	1	1	5	5
1	6.97950598224998	1	6	1	1	9	4
9	6.99738742411137	1	5	1	1	8	4
0	7.02814502827823	1	3	1	1	5	7
2	7.06828944571316	1	5	1	1	8	4
4	7.10998448170722	1	4	1	1	6	5
6	7.15289797447622	1	3	1	1	7	7
8	7.27459689043462	1	3	1	3	6	4
5	7.41321240924299	1	6	1	3	9	4
3	7.56780762039125	1	4	1	1	6	7
7	7.72889373265207	1	4	1	1	9	4
5	7.73578399186954	1	6	1	3	10	4
0	7.74690076196566	1	3	1	1	6	7
1	7.7992820055224	1	5	1	1	8	5
6	7.84198177838698	1	4	1	1	8	6
7	7.89188300678507	1	3	1	1	9	4
9	7.95923943677917	1	4	1	1	7	5
3	8.03767599025741	1	4	1	1	7	7
8	8.12134498218074	1	3	1	3	7	4
2	8.30677050212398	1	5	1	1	9	4
4	8.50548782804981	1	3	1	1	5	6
1	8.51111459219828	1	5	1	1	7	5
6	8.51973468111828	1	4	1	1	9	6
8	8.53702984610572	1	3	1	3	8	4
3	8.55528723122552	1	4	1	1	8	7
6	8.57373860897496	1	4	1	1	10	6
5	8.59690745221451	1	5	1	3	9	5
4	8.65490439953283	1	3	1	1	6	6
9	8.71680388273671	1	4	1	2	7	5
7	8.8291251254268	1	2	1	1	8	5
2	8.96431123139337	1	5	1	1	10	4
0	9.12866922141984	1	4	1	1	7	6
4	9.13077975297347	1	3	1	1	7	6
3	9.13413317780942	1	3	1	1	7	8
9	9.14179758308455	1	4	1	2	8	5
0	9.15704256156459	1	4	1	1	8	6
7	9.17759639071301	1	2	1	1	9	5
5	9.19969869637862	1	5	1	3	10	5
8	9.22439414495602	1	3	1	3	9	4
8	9.2610344835557	1	3	1	3	10	4
2	9.35190848493949	1	5	1	1	11	4
1	9.49542118096724	1	5	1	1	6	5
6	9.69395900750533	1	3	1	1	9	7
0	9.69678927422501	1	4	1	1	9	6
2	9.70212069549598	1	5	1	1	12	4
7	9.71020298101939	1	2	1	1	10	5
5	9.73591780127026	1	5	1	3	9	5
9	9.75218384549953	1	4	1	2	9	5
4	9.78063452825882	1	3	1	1	6	6
1	9.82096750871278	1	4	1	1	5	6
8	9.86162433982827	1	3	1	3	11	4
6	9.90372345061041	1	3	1	1	10	7
3	9.98845195234753	1	3	1	1	7	7
5	9.9925722789485	1	5	1	3	8	5
3	10.0013733163942	1	3	1	1	8	7
8	10.0246192228515	1	3	1	3	12	4
4	10.0420044262428	1	3	1	1	7	6
0	10.0615620755125	1	5	1	1	9	6
2	10.0888985779602	1	5	1	1	13	4
6	10.1223654833157	1	3	1	1	11	7
7	10.18698022631	1	2	1	1	9	5
9	10.2612683486659	1	4	1	2	10	5
1	10.3869738888461	1	5	1	1	5	6
2	10.4024375488516	1	5	1	1	14	4
1	10.4267138594296	1	5	1	1	4	6
0	10.4718786419835	1	4	1	1	8	7
8	10.5174903587904	1	3	1	3	13	4
7	10.5637537853327	1	3	1	1	10	4
5	10.6580583096948	1	5	1	4	8	5
3	10.755138391396	1	3	1	1	9	7
6	10.855406233808	1	3	1	1	10	7
9	10.9558317305055	1	5	1	2	11	4
4	11.1074422092643	1	4	1	1	7	6
6	11.125476785237	1	3	1	1	11	7
7	11.1431758871768	1	3	1	1	11	4
8	11.1672300326172	1	3	1	3	14	4
5	11.1955412647221	1	5	1	4	9	5
9	11.2438615767751	1	5	1	2	12	4
1	11.3025502918754	1	5	1	1	4	5
2	11.3621450907085	1	5	1	1	15	4
4	11.4299214652274	1	4	1	1	8	6
3	11.5262630155776	1	2	1	1	8	8
0	11.7584199032281	1	4	1	1	9	7
8	11.7593486662372	1	3	1	3	15	4
